草药名	contains序号	all序号
青木香	0	TCMBANKHE004953
罗汉松	1	NA
徐长卿	2	TCMBANKHE003784
荆芥	3	TCMBANKHE007941
椒目	4	TCMBANKHE000750
竹叶	5	NA
淡竹叶	6	TCMBANKHE004224
列当	7	TCMBANKHE006072
芒硝	8	NA
石决明	9	TCMBANKHE000969
自然铜	10	TCMBANKHE008528
滑石粉	11	TCMBANKHE002754
鹿角霜	12	TCMBANKHE000391
石榴	13	TCMBANKHE000002
海螵蛸	14	TCMBANKHE006157
赭石	15	TCMBANKHE001378
菊花	16	TCMBANKHE005793
葱白	17	TCMBANKHE005921
前胡	18	TCMBANKHE008512
红花	19	TCMBANKHE008761
蚕豆	20	TCMBANKHE005739
蒲黄	21	TCMBANKHE008629
冬葵	22	NA
桃	23	TCMBANKHE005072
太子参	24	TCMBANKHE008901
胡颓子	25	NA
翻白草	26	TCMBANKHE006940
蜂蜜	27	TCMBANKHE005222
蜂蜡	28	TCMBANKHE000689
桑	29	NA
大血藤	30	TCMBANKHE005090
苏合香	31	TCMBANKHE005549
川芎	32	TCMBANKHE008104
藜芦	33	TCMBANKHE004399
地榆	34	TCMBANKHE009169
白术	35	TCMBANKHE009163
马蔺	36	TCMBANKHE005514
大蒜	37	TCMBANKHE005183
小茴香	38	TCMBANKHE007592
姜黄	39	TCMBANKHE003724
天葵	40	NA
骨碎补	41	TCMBANKHE005226
罗布麻叶	42	TCMBANKHE002206
高良姜	43	TCMBANKHE006907
蒺藜	44	TCMBANKHE007734
熊胆	45	TCMBANKHE004762
板栗	46	TCMBANKHE004627
黄皮	47	NA
桑寄生	48	TCMBANKHE008255
核桃仁	49	TCMBANKHE004582
牡蛎	50	TCMBANKHE007972
番泻叶	51	TCMBANKHE003911
知母	52	TCMBANKHE008998
蜈蚣	53	TCMBANKHE008903
鸡内金	54	TCMBANKHE006504
雄黄	55	TCMBANKHE005467
大蓟	56	TCMBANKHE008794
茵陈蒿	57	TCMBANKHE006881
五加皮	58	TCMBANKHE005004
生姜	59	TCMBANKHE008863
紫苏叶	60	TCMBANKHE008244
松塔	61	NA
合欢皮	62	TCMBANKHE004265
溪黄草	63	TCMBANKHE006797
玉竹	64	TCMBANKHE007758
花生	65	NA
木芙蓉叶	66	NA
延胡索	67	TCMBANKHE004522
梨	68	NA
火麻仁	69	NA
毛诃子	70	TCMBANKHE002973
玄参	71	NA
昆布	72	TCMBANKHE004208
白果	73	TCMBANKHE008354
瓜蒌皮	74	NA
冬瓜	75	NA
五指毛桃	76	NA
竹沥	77	TCMBANKHE003672
麦芽	78	TCMBANKHE005494
灵芝	79	NA
三叶青	80	TCMBANKHE002073
洋葱	81	TCMBANKHE006073
铁苋菜	82	TCMBANKHE001911
防风	83	TCMBANKHE006781
三棵针	84	NA
马齿苋	85	TCMBANKHE006287
棉花子	86	TCMBANKHE003601
莪术	87	TCMBANKHE000214
肉桂	88	TCMBANKHE006659
瓦楞子	89	TCMBANKHE000498
枇杷	90	TCMBANKHE005900
桑椹子	91	NA
白茅根	92	NA
洋金花	93	TCMBANKHE006426
玫瑰花	94	TCMBANKHE005431
橘核	95	TCMBANKHE007110
金锦香	96	TCMBANKHE005304
功劳木	97	TCMBANKHE001149
寒水石	98	TCMBANKHE007126
楮实子	99	TCMBANKHE002149
枸杞子	100	TCMBANKHE004459
葫芦茶	101	TCMBANKHE008733
蝉蜕	102	TCMBANKHE003976
败酱	103	TCMBANKHE008234
益智	104	TCMBANKHE002845
升药	105	NA
西瓜皮	106	TCMBANKHE002308
白附子	107	TCMBANKHE001019
菟丝子	108	TCMBANKHE007073
制何首乌	109	NA
广枣	110	TCMBANKHE001634
海龙	111	TCMBANKHE000998
紫花杜鹃	112	TCMBANKHE001450
韭子	113	NA
苦木	114	TCMBANKHE005937
三七	115	TCMBANKHE004506
糙苏	116	NA
狗脊	117	TCMBANKHE008358
白鲜皮	118	TCMBANKHE005444
郁金	119	TCMBANKHE008098
艾叶	120	TCMBANKHE008517
守宫	121	NA
三叉苦	122	TCMBANKHE008624
紫苏子	123	TCMBANKHE002205
白矾	124	NA
冬葵果	125	TCMBANKHE003234
海金沙	126	TCMBANKHE008071
千金子霜	127	TCMBANKHE000986
苘麻子	128	TCMBANKHE002233
水蛭	129	TCMBANKHE006865
哈蟆油	130	NA
淡竹	131	NA
蟾酥	132	TCMBANKHE005508
月季花	133	TCMBANKHE007417
半枝莲	134	TCMBANKHE007803
天葵子	135	TCMBANKHE000451
灯盏细辛	136	TCMBANKHE003745
蛇蜕	137	TCMBANKHE001478
甘草	138	TCMBANKHE003728
锁阳	139	TCMBANKHE007984
白芥子	140	TCMBANKHE005161
蓖麻子	141	TCMBANKHE004047
神曲	142	TCMBANKHE005095
鸡子	143	NA
芙蓉叶	144	NA
川楝子	145	TCMBANKHE007730
重楼	146	TCMBANKHE002605
杏仁	147	TCMBANKHE007673
龟甲	148	TCMBANKHE001976
桑枝	149	TCMBANKHE007773
耳草	150	TCMBANKHE003837
皂角刺	151	NA
鲜地黄	152	NA
过山龙	153	NA
豌豆	154	TCMBANKHE008344
西瓜霜	155	NA
丝瓜络	156	TCMBANKHE003533
红参	157	TCMBANKHE001345
零陵香	158	TCMBANKHE002552
陈皮	159	TCMBANKHE008690
平贝母	160	TCMBANKHE006031
旋覆花	161	TCMBANKHE005210
草莓	162	TCMBANKHE007570
了哥王	163	NA
白头翁	164	TCMBANKHE005954
制川乌	165	TCMBANKHE001438
秦皮	166	TCMBANKHE007751
山豆根	167	TCMBANKHE004838
